S F1 val,G/S F1 train,G/D Accuracy train,G/S F1 val,G/D Accuracy val,D Accuracy val,S F1 train,D Accuracy train
0.9401092118024826,0.897379980623722,0.84225,0.9015313613414765,0.88125,0.999375,0.9222788656353951,0.978875
0.9475490319728851,0.9108655544519424,0.9595,0.9278608930110931,0.6175,1.0,0.9384791843891144,0.9865
0.9465129643678665,0.9280835601091385,0.98925,0.9300460767745972,0.995,0.998125,0.9417328277826309,0.991125
0.9464562255144119,0.9248734308481217,0.98725,0.9372708034515381,0.45,0.99625,0.9432331854104996,0.989875
0.9460724675655365,0.9282765957117081,0.983,0.916282753944397,0.1125,0.99625,0.9447055920362473,0.99325
0.9464200609922409,0.9250393217802048,0.992,0.9420300555229187,0.975,1.0,0.9441563966274261,0.994625
0.9482053345441819,0.9292118164300919,0.9785,0.9390621662139893,0.91,0.9975,0.9463298361301422,0.991625
0.948288733959198,0.9292244381904602,0.975,0.9372935998439789,0.3975,0.5,0.9475433937311173,0.9895
0.9481492441892624,0.9176314257383347,0.9155,0.9240955871343612,0.4425,1.0,0.9477043446302414,0.9915
0.9487169015407563,0.92691439640522,0.98225,0.9419218075275421,0.9575,0.996875,0.9487803881168365,0.9915
0.9481364512443542,0.9338936581611633,0.99575,0.9409500342607499,1.0,0.99875,0.9491061805486679,0.992375
0.9476672774553299,0.9356812989711761,0.98175,0.9412006992101669,0.00875,0.999375,0.9498672361373901,0.99925
0.9481696951389312,0.935432941198349,0.9925,0.9442236894369125,0.97,1.0,0.949182655096054,0.9965
0.9483417212963104,0.9370944100618362,0.99875,0.945586097240448,0.97625,1.0,0.9496130954027175,0.998
0.9471184980869293,0.9375289574861526,0.99675,0.9436034494638443,0.92625,1.0,0.9492699509859085,0.998875
0.9476894217729569,0.940431571483612,0.9985,0.9458898657560348,0.95875,1.0,0.9515267990827561,0.997
0.9491925060749054,0.9399009696245193,0.998,0.9456855136156083,0.97,1.0,0.9508512157201767,0.99575
0.9477747184038162,0.939867858171463,0.98925,0.9427517139911652,0.985,1.0,0.9513241226673126,0.9955
0.9487763851881027,0.9409495044946671,0.99525,0.9445314908027649,0.97375,1.0,0.9514275405406952,0.996625
0.9480219328403473,0.9398786212205887,0.98575,0.9454706054925919,0.965,1.0,0.9517317597866058,0.99375
